sample_idx,label,gs_spearman_r,ts_spearman_r,sensitivity_nb_clicks_1week,sensitivity_product_price,sensitivity_click_hour,sensitivity_click_dow,sensitivity_device_type_enc,sensitivity_product_country_enc,sensitivity_product_age_group_enc,sensitivity_product_gender_enc,sensitivity_product_category_1_enc,sensitivity_partner_id_enc,gs_attr_nb_clicks_1week,gs_attr_product_price,gs_attr_click_hour,gs_attr_click_dow,gs_attr_device_type_enc,gs_attr_product_country_enc,gs_attr_product_age_group_enc,gs_attr_product_gender_enc,gs_attr_product_category_1_enc,gs_attr_partner_id_enc,ts_attr_nb_clicks_1week,ts_attr_product_price,ts_attr_click_hour,ts_attr_click_dow,ts_attr_device_type_enc,ts_attr_product_country_enc,ts_attr_product_age_group_enc,ts_attr_product_gender_enc,ts_attr_product_category_1_enc,ts_attr_partner_id_enc
136,1,-0.058025885318565944,0.7212121212121211,0.034632444,0.15280122,0.2763906,0.092573225,0.7478891,0.79833,0.14139342,0.73153543,0.8435179,0.12410873,0.007864144,0.08987744,0.007864144,0.007864144,0.007864144,0.007864144,0.007864144,0.007864144,0.007864144,0.007864144,0.011648237,0.7754762,0.049336538,0.016829398,0.1536259,0.24702115,0.08973007,0.15098062,0.13123722,0.04827411
137,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,1,0.2901294265928297,0.9393939393939393,0.012390912,0.4932713,0.025565326,0.011042297,0.056145668,0.5019622,0.46161106,0.15726393,0.50650644,0.4091064,0.0042265384,0.09969776,0.0042265384,0.0042265384,0.0042265384,0.0042265384,0.0042265384,0.0042265384,0.0042265384,0.0042265384,0.0038152211,0.8618499,0.0058417823,0.00078317616,0.013044181,0.13104613,0.051843148,0.021448536,0.080113836,0.062208988
165,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,1,-0.1740776559556978,0.6484848484848483,7.349253e-05,0.0003924966,0.0010852814,0.0004094839,0.12454468,0.01339674,0.00035232306,0.53547573,0.01017493,0.0003579259,0.004200606,0.03785452,0.004200606,0.004200606,0.004200606,0.004200606,0.004200606,0.004200606,0.004200606,0.004200606,0.004811124,0.4445539,0.034458887,0.0065975664,0.082218066,0.04924395,0.027620813,0.2921529,0.03847317,0.036173414
177,1,0.2901294265928297,0.8666666666666665,0.04389131,0.4878201,0.18148345,0.074379236,0.0394181,0.50408584,0.34932777,0.14681774,0.51190674,0.27874,0.0045346525,0.10178937,0.0045346525,0.0045346525,0.0045346525,0.0045346525,0.0045346525,0.0045346525,0.0045346525,0.0045346525,0.0093465345,0.8537837,0.027937373,0.006770716,0.0041375374,0.13719378,0.022050213,0.022098823,0.09925475,0.03717404
185,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
