sparsity_label,T,sample_idx,label,gsshap_comp,gsshap_suff,gsshap_gini,gsshap_npl,gsshap_stability,timeshap_comp,timeshap_suff,timeshap_stability,winshap_comp
T32-Rich,32,143,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9829953527672156,0.0
T32-Rich,32,144,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,145,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.8693361681207886,0.0
T32-Rich,32,146,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9436715992114854,0.0
T32-Rich,32,147,0,-0.8688362836837769,0.43441325426101685,-1.003125,4,,-0.8688362836837769,0.4344181418418884,0.9716941275876635,-0.8688362836837769
T32-Rich,32,148,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9119014305287546,0.0
T32-Rich,32,149,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9814110688635402,0.0
T32-Rich,32,150,0,-0.9925211668014526,0.4496185779571533,-1.003125,4,,-0.9925211668014526,0.2530706524848938,0.9904942965779466,-0.9925211668014526
T32-Rich,32,151,0,-0.523888349533081,0.2509046494960785,-1.003125,4,,-0.523888349533081,0.15589934587478638,0.9901774397972115,-0.523888349533081
T32-Rich,32,152,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,153,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,154,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9449315231404446,0.0
T32-Rich,32,155,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9250286601990361,0.0
T32-Rich,32,156,0,-0.0005792576121166348,0.9989884495735168,0.30587791045047275,4,0.8552631578947368,-0.9989884495735168,0.2506244480609894,0.9956696239966201,-0.9989884495735168
T32-Rich,32,157,0,-0.361095130443573,0.1724555343389511,-1.003125,4,,-0.361095130443573,0.10833993554115295,0.9912336290663285,-0.361095130443573
T32-Rich,32,158,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9790874524714827,0.0
T32-Rich,32,159,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9474331663267135,0.0
T32-Rich,32,160,0,-0.9892503619194031,0.44184058904647827,-1.003125,4,,-0.9892503619194031,0.25515860319137573,0.9933460076045626,-0.9892503619194031
T32-Rich,32,161,0,-0.9940314292907715,0.2494526207447052,0.5464082408069515,4,1.0,-0.9940314292907715,0.25262266397476196,0.9915504858470636,-0.9940314292907715
T32-Rich,32,162,0,-0.9987718462944031,0.29755422472953796,-1.003125,4,,-0.9987718462944031,0.2511487305164337,0.9965145754119137,-0.9987718462944031
T32-Rich,32,163,0,-0.38631612062454224,0.17456242442131042,0.5529670611740305,4,1.0,-0.38631612062454224,0.1172010600566864,0.9857414448669198,-0.38631612062454224
T32-Rich,32,164,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,165,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9808829742289816,0.0
T32-Rich,32,166,0,-0.9979749917984009,0.28536760807037354,-1.003125,4,,-0.9979749917984009,0.2501198947429657,0.9936628643852976,-0.9979749917984009
T32-Rich,32,167,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9511410000065564,0.0
T32-Rich,32,168,0,-0.9886536002159119,0.4897012710571289,-1.003125,4,,-0.9886536002159119,0.2661835849285126,0.992501056189269,-0.9886536002159119
T32-Rich,32,169,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9796905449187957,0.0
T32-Rich,32,170,1,-0.4878200888633728,0.24345819652080536,-1.003125,4,,-0.4878200888633728,0.16433070600032806,0.9809885931558934,-0.4878200888633728
T32-Rich,32,171,1,-0.6578596234321594,0.45368894934654236,0.37524852908650197,4,0.986842105263158,-0.9074251055717468,0.24299563467502594,0.9944021968736795,-0.9074251055717468
T32-Rich,32,172,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,173,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9477144199110938,0.0
T32-Rich,32,174,0,-0.9995136857032776,0.2498881071805954,0.3535012137158342,4,0.9824561403508772,-0.9995136857032776,0.2500811815261841,0.9983100971694124,-0.9995136857032776
T32-Rich,32,175,0,-0.9882755279541016,0.4873195290565491,-1.003125,4,,-0.9882755279541016,0.2763293981552124,0.9883819180397125,-0.9882755279541016
T32-Rich,32,176,0,-0.9997485280036926,0.24996420741081238,0.38942010615803424,4,0.986842105263158,-0.9997485280036926,0.2523994743824005,0.9952471482889732,-0.9997485280036926
T32-Rich,32,177,1,-0.15280121564865112,0.07596583664417267,-1.003125,4,,-0.15280121564865112,0.07639572024345398,0.9746514575411912,-0.15280121564865112
T32-Rich,32,178,0,-0.9888075590133667,0.479226291179657,-1.003125,4,,-0.9888075590133667,0.2623136341571808,0.9900718208702998,-0.9888075590133667
T32-Rich,32,179,0,-0.989359974861145,0.4765188694000244,-1.003125,4,,-0.989359974861145,0.2734526991844177,0.9900718208702998,-0.989359974861145
T32-Rich,32,180,1,-0.5567660927772522,0.277953565120697,-1.003125,4,,-0.5567660927772522,0.18524211645126343,0.9804604985213349,-0.5567660927772522
